date;steps;distance;runDistance;calories
2019-09-17;8237;5673;328;179
2019-09-18;5340;3673;451;129
2019-09-19;10172;7260;493;244
2019-09-20;8519;6021;700;220
2019-09-21;5121;3465;504;125
2019-09-22;4815;3259;368;117
2019-09-23;5052;3526;516;126
2019-09-24;5429;3761;583;129
2019-09-25;7248;4992;785;178
2019-09-26;7858;5413;610;186
2019-09-27;7070;4866;583;169
2019-09-28;4348;3008;468;103
2019-09-29;2885;1986;157;66
2019-09-30;6587;4507;616;163
2019-10-01;11638;7919;506;255
2019-10-02;6375;4455;476;156
2019-10-03;8664;5968;730;211
2019-10-04;8640;6081;390;202
2019-10-05;3259;2229;361;81
2019-10-06;7800;5328;832;188
2019-10-07;5537;3827;511;137
2019-10-08;8160;5578;646;192
2019-10-09;6950;4745;744;171
2019-10-10;10276;7239;810;254
2019-10-11;7391;5006;613;166
2019-10-12;10162;6943;579;223
2019-10-13;8309;6019;191;188
2019-10-14;6671;4549;556;158
2019-10-15;5809;3985;474;137
2019-10-16;7343;5079;528;175
2019-10-17;5856;3988;465;136
2019-10-18;7533;5237;580;188
2019-10-19;5745;4091;292;138
2019-10-20;6607;4968;258;170
2019-10-21;6647;4525;737;167
2019-10-22;11276;7955;632;265
2019-10-23;9261;6454;591;221
2019-10-24;3977;2834;313;93
2019-10-25;7627;5247;593;179
2019-10-26;9304;6393;297;194
2019-10-27;6859;4839;333;160
2019-10-28;5565;3797;518;139
2019-10-29;5581;3839;731;142
2019-10-30;9754;6710;809;230
2019-10-31;8280;5704;794;201
2019-11-01;25279;18723;867;635
2019-11-02;23805;16799;805;523
2019-11-03;19413;14050;701;448
2019-11-04;18300;13357;717;432
2019-11-05;13290;9602;853;339
2019-11-06;7470;5135;657;185
2019-11-07;5646;3869;633;143
2019-11-08;9042;6211;737;212
2019-11-09;5565;3746;430;126
2019-11-10;3463;2379;337;87
2019-11-11;6285;4552;475;161
2019-11-12;10246;7727;381;261
2019-11-13;10785;7701;527;258
2019-11-14;4545;3150;349;104
2019-11-15;12911;9684;448;341
2019-11-16;5731;4075;431;142
2019-11-17;5964;4070;525;136
2019-11-18;6384;4444;539;152
2019-11-19;3747;2531;401;91
2019-11-20;5814;4256;269;149
2019-11-21;3847;2619;272;87
2019-11-22;10162;7044;678;222
2019-11-23;6782;4604;509;150
2019-11-24;3392;2314;255;82
2019-11-25;4275;2961;325;104
2019-11-26;4568;3091;480;109
2019-11-27;5050;3468;545;125
2019-11-28;6868;4702;624;168
2019-11-29;6374;4329;472;155
2019-11-30;11958;8302;525;272
2019-12-01;7950;5728;413;191
2019-12-02;11788;8644;434;311
2019-12-03;12493;9088;739;332
2019-12-04;6910;4723;677;168
2019-12-05;11937;8280;893;289
2019-12-06;12843;8743;852;291
2019-12-07;14217;10061;628;334
2019-12-08;7817;5365;333;179
2019-12-09;8450;6648;244;255
2019-12-10;5602;3799;466;140
2019-12-11;6678;4556;648;160
2019-12-12;9121;6367;522;233
2019-12-13;6354;4317;435;151
2019-12-14;6331;4316;443;146
2019-12-15;5608;3815;266;121
